t,X_1,X_2,X_3
481.5,2438321.79719037,2452.30708095826,0
481.75,2440701.06240891,2452.28255202772,0
482,2443079.01730527,2452.2580233367,0
482.25,2445455.65553665,2452.23349488519,0
482.5,2447830.97077549,2452.20896667319,0
482.75,2450204.95670954,2452.18443870071,0
483,2452577.60704194,2452.15991096776,0
483.25,2454948.9154912,2452.13538347432,0
483.5,2457318.87579137,2452.1108562204,0
483.75,2459687.481692,2452.08632920601,0
484,2462054.7269583,2452.06180243114,0
484.25,2464420.60537108,2452.03727589579,0
484.5,2466785.11072689,2452.01274959997,0
484.75,2469148.23683807,2451.98822354367,0
485,2471509.97753277,2451.9636977269,0
485.25,2473870.32665505,2451.93917214966,0
485.5,2476229.27806488,2451.91464681195,0
485.75,2478586.82563827,2451.89012171377,0
486,2480942.96326726,2451.86559685512,0
486.25,2483297.68486002,2451.841072236,0
486.5,2485650.98434085,2451.81654785642,0
486.75,2488002.8556503,2451.79202371637,0
487,2490353.2927452,2451.76749981586,0
487.25,2492702.28959868,2451.74297615489,0
487.5,2495049.84020026,2451.71845273346,0
487.75,2497395.93855589,2451.69392955157,0
488,2499740.57868802,2451.66940660922,0
488.25,2502083.75463563,2451.64488390641,0
488.5,2504425.46045426,2451.62036144315,0
488.75,2506765.69021612,2451.59583921943,0
489,2509104.43801012,2451.57131723526,0
489.25,2511441.69794189,2451.54679549064,0
489.5,2513777.46413383,2451.52227398556,0
489.75,2516111.73072522,2451.49775272004,0
490,2518444.49187221,2451.47323169407,0
490.25,2520775.74174791,2451.44871090766,0
490.5,2523105.47454237,2451.4241903608,0
490.75,2525433.68446271,2451.3996700535,0
491,2527760.36573314,2451.37514998575,0
491.25,2530085.51259498,2451.35063015757,0
491.5,2532409.11930672,2451.32611056895,0
491.75,2534731.1801441,2451.30159121989,0
492,2537051.68940011,2451.27707211039,0
492.25,2539370.64138505,2451.25255324046,0
492.5,2541688.0304266,2451.2280346101,0
492.75,2544003.85086984,2451.20351621931,0
493,2546318.09707728,2451.17899806808,0
493.25,2548630.76342896,2451.15448015643,0
493.5,2550941.84432242,2451.12996248435,0
493.75,2553251.3341728,2451.10544505185,0
494,2555559.22741287,2451.08092785892,0
494.25,2557865.51849306,2451.05641090558,0
494.5,2560170.2018815,2451.03189419181,0
494.75,2562473.27206407,2451.00737771763,0
495,2564774.72354448,2450.98286148302,0
495.25,2567074.55084423,2450.95834548801,0
495.5,2569372.7485027,2450.93382973258,0
495.75,2571669.3110772,2450.90931421674,0
496,2573964.23314299,2450.88479894049,0
496.25,2576257.50929331,2450.86028390383,0
496.5,2578549.13413944,2450.83576910676,0
496.75,2580839.10231074,2450.8112545493,0
497,2583127.40845466,2450.78674023142,0
497.25,2585414.04723683,2450.76222615315,0
497.5,2587699.01334102,2450.73771231448,0
497.75,2589982.30146925,2450.71319871541,0
498,2592263.90634179,2450.68868535595,0
498.25,2594543.82269722,2450.66417223609,0
498.5,2596822.04529241,2450.63965935584,0
498.75,2599098.56890264,2450.6151467152,0
499,2601373.38832157,2450.59063431418,0
499.25,2603646.49836129,2450.56612215276,0
499.5,2605917.89385237,2450.54161023097,0
499.75,2608187.56964387,2450.51709854879,0
500,2610455.52060342,2450.49258710623,0
500.25,2612721.74161717,2450.46807590329,0
500.5,2614986.22758991,2450.44356493998,0
500.75,2617248.97344505,2450.41905421629,0
501,2619509.97412467,2450.39454373223,0
501.25,2621769.22458955,2450.3700334878,0
501.5,2624026.71981918,2450.345523483,0
501.75,2626282.45481184,2450.32101371784,0
502,2628536.42458459,2450.29650419231,0
502.25,2630788.6241733,2450.27199490641,0
502.5,2633039.04863268,2450.24748586016,0
502.75,2635287.69303635,2450.22297705355,0
503,2637534.55247681,2450.19846848659,0
503.25,2639779.62206551,2450.17396015927,0
503.5,2642022.89693284,2450.14945207159,0
503.75,2644264.37222822,2450.12494422357,0
504,2646504.04312005,2450.1004366152,0
504.25,2648741.9047958,2450.07592924649,0
504.5,2650977.952462,2450.05142211743,0
504.75,2653212.18134426,2450.02691522803,0
505,2655444.58668734,2450.00240857829,0
505.25,2657675.16375513,2449.97790216822,0
505.5,2659903.9078307,2449.95339599781,0
505.75,2662130.81421632,2449.92889006707,0
506,2664355.87823345,2449.90438437599,0
506.25,2666579.09522284,2449.87987892459,0
506.5,2668800.46054447,2449.85537371287,0
506.75,2671019.96957761,2449.83086874082,0
507,2673237.61772087,2449.80636400845,0
507.25,2675453.40039217,2449.78185951576,0
507.5,2677667.31302879,2449.75735526275,0
507.75,2679879.35108738,2449.73285124943,0
508,2682089.51004401,2449.7083474758,0
508.25,2684297.78539414,2449.68384394186,0
508.5,2686504.17265267,2449.65934064761,0
508.75,2688708.66735398,2449.63483759306,0
509,2690911.2650519,2449.6103347782,0
509.25,2693111.96131977,2449.58583220304,0
509.5,2695310.75175044,2449.56132986759,0
509.75,2697507.63195628,2449.53682777184,0
510,2699702.59756923,2449.51232591579,0
510.25,2701895.64424078,2449.48782429946,0
510.5,2704086.76764201,2449.46332292284,0
510.75,2706275.96346359,2449.43882178593,0
511,2708463.22741581,2449.41432088874,0
511.25,2710648.5552286,2449.38982023126,0
511.5,2712831.94265153,2449.36531981351,0
511.75,2715013.38545383,2449.34081963548,0
512,2717192.8794244,2449.31631969718,0
512.25,2719370.42037184,2449.29181999861,0
512.5,2721546.00412445,2449.26732053977,0
512.75,2723719.62653025,2449.24282132066,0
513,2725891.28345699,2449.21832234129,0
513.25,2728060.97079216,2449.19382360166,0
513.5,2730228.684443,2449.16932510177,0
513.75,2732394.42033652,2449.14482684162,0
514,2734558.17441952,2449.12032882122,0
514.25,2736719.94265858,2449.09583104057,0
514.5,2738879.72104007,2449.07133349967,0
514.75,2741037.50557019,2449.04683619853,0
515,2743193.29227495,2449.02233913714,0
515.25,2745347.0772002,2448.99784231551,0
515.5,2747498.85641161,2448.97334573365,0
515.75,2749648.62599471,2448.94884939154,0
516,2751796.3820549,2448.92435328921,0
516.25,2753942.12071741,2448.89985742665,0
516.5,2756085.83812738,2448.87536180385,0
516.75,2758227.53044981,2448.85086642084,0
517,2760367.19386959,2448.8263712776,0
517.25,2762504.82459151,2448.80187637414,0
517.5,2764640.41884024,2448.77738171047,0
517.75,2766773.97286038,2448.75288728658,0
518,2768905.48291642,2448.72839310248,0
518.25,2771034.9452928,2448.70389915817,0
518.5,2773162.35629384,2448.67940545366,0
518.75,2775287.7122438,2448.65491198894,0
519,2777411.00948689,2448.63041876403,0
519.25,2779532.24438722,2448.60592577891,0
519.5,2781651.41332887,2448.5814330336,0
519.75,2783768.51271583,2448.5569405281,0
520,2785883.53897205,2448.53244826241,0
520.25,2787996.48854143,2448.50795623653,0
520.5,2790107.35788778,2448.48346445047,0
520.75,2792216.14349491,2448.45897290423,0
521,2794322.84186654,2448.43448159781,0
521.25,2796427.44952636,2448.40999053121,0
521.5,2798529.963018,2448.38549970445,0
521.75,2800630.37890504,2448.36100911751,0
522,2802728.69377101,2448.33651877041,0
522.25,2804824.90421941,2448.31202866314,0
522.5,2806919.00687366,2448.28753879571,0
522.75,2809010.99837715,2448.26304916812,0
523,2811100.8753932,2448.23855978038,0
523.25,2813188.63460507,2448.21407063249,0
523.5,2815274.27271599,2448.18958172444,0
523.75,2817357.7864491,2448.16509305625,0
524,2819439.17254748,2448.14060462792,0
524.25,2821518.42777416,2448.11611643944,0
524.5,2823595.54891208,2448.09162849083,0
524.75,2825670.53276411,2448.06714078208,0
525,2827743.37615305,2448.0426533132,0
525.25,2829814.07592161,2448.01816608419,0
525.5,2831882.6289324,2447.99367909506,0
525.75,2833949.03206794,2447.9691923458,0
526,2836013.28223066,2447.94470583642,0
526.25,2838075.37634287,2447.92021956692,0
526.5,2840135.31134678,2447.89573353731,0
526.75,2842193.08420448,2447.87124774759,0
527,2844248.6918979,2447.84676219776,0
527.25,2846302.13142889,2447.82227688783,0
527.5,2848353.39981912,2447.79779181779,0
527.75,2850402.49411012,2447.77330698766,0
528,2852449.41136326,2447.74882239742,0
528.25,2854494.14865975,2447.7243380471,0
528.5,2856536.70310061,2447.69985393668,0
528.75,2858577.07180669,2447.67537006618,0
529,2860615.25191863,2447.65088643559,0
529.25,2862651.24059688,2447.62640304493,0
529.5,2864685.03502167,2447.60191989418,0
529.75,2866716.632393,2447.57743698336,0
530,2868746.02993063,2447.55295431247,0
530.25,2870773.22487407,2447.52847188151,0
530.5,2872798.21448259,2447.50398969048,0
530.75,2874820.99603516,2447.4795077394,0
531,2876841.56683049,2447.45502602825,0
531.25,2878859.92418699,2447.43054455705,0
531.5,2880876.06544274,2447.40606332579,0
531.75,2882889.98795551,2447.38158233448,0
532,2884901.68910275,2447.35710158313,0
532.25,2886911.16628154,2447.33262107173,0
532.5,2888918.41690861,2447.30814080029,0
532.75,2890923.43842029,2447.28366076882,0
533,2892926.22827254,2447.25918097731,0
533.25,2894926.7839409,2447.23470142577,0
533.5,2896925.10292051,2447.2102221142,0
533.75,2898921.18272603,2447.18574304261,0
534,2900915.0208917,2447.16126421099,0
534.25,2902906.61497127,2447.13678561936,0
534.5,2904895.96253803,2447.11230726771,0
534.75,2906883.06118473,2447.08782915605,0
535,2908867.90852363,2447.06335128438,0
535.25,2910850.50218643,2447.03887365271,0
535.5,2912830.83982429,2447.01439626103,0
535.75,2914808.91910779,2446.98991910935,0
536,2916784.73772691,2446.96544219768,0
536.25,2918758.29339104,2446.94096552602,0
536.5,2920729.58382893,2446.91648909436,0
536.75,2922698.60678868,2446.89201290272,0
537,2924665.36003772,2446.8675369511,0
537.25,2926629.84136281,2446.84306123949,0
537.5,2928592.04856999,2446.81858576791,0
537.75,2930551.97948456,2446.79411053636,0
538,2932509.6319511,2446.76963554484,0
538.25,2934465.00383342,2446.74516079335,0
538.5,2936418.09301452,2446.7206862819,0
538.75,2938368.8973966,2446.69621201048,0
539,2940317.41490103,2446.67173797912,0
539.25,2942263.64346834,2446.64726418779,0
539.5,2944207.58105817,2446.62279063652,0
539.75,2946149.22564925,2446.5983173253,0
540,2948088.57523941,2446.57384425414,0
540.25,2950025.62784554,2446.54937142303,0
540.5,2951960.38150355,2446.52489883199,0
540.75,2953892.83426837,2446.50042648102,0
541,2955822.9842139,2446.47595437011,0
541.25,2957750.82943302,2446.45148249928,0
541.5,2959676.36803756,2446.42701086852,0
541.75,2961599.59815824,2446.40253947785,0
542,2963520.51794468,2446.37806832725,0
542.25,2965439.12556536,2446.35359741675,0
542.5,2967355.41920761,2446.32912674633,0
542.75,2969269.39707758,2446.30465631601,0
543,2971181.05740017,2446.28018612578,0
543.25,2973090.3984191,2446.25571617565,0
543.5,2974997.4183968,2446.23124646563,0
543.75,2976902.11561439,2446.20677699571,0
544,2978804.4883717,2446.1823077659,0
544.25,2980704.53498721,2446.15783877621,0
544.5,2982602.25379805,2446.13337002663,0
544.75,2984497.64315992,2446.10890151717,0
545,2986390.7014471,2446.08443324783,0
545.25,2988281.42705244,2446.05996521863,0
545.5,2990169.8183873,2446.03549742955,0
545.75,2992055.87388152,2446.0110298806,0
546,2993939.59198341,2445.9865625718,0
546.25,2995820.97115973,2445.96209550313,0
546.5,2997700.00989561,2445.93762867461,0
546.75,2999576.7066946,2445.91316208623,0
547,3001451.06007854,2445.88869573801,0
547.25,3003323.06858766,2445.86422962994,0
547.5,3005192.73078041,2445.83976376203,0
547.75,3007060.04523354,2445.81529813427,0
548,3008925.010542,2445.79083274669,0
548.25,3010787.62531896,2445.76636759927,0
548.5,3012647.88819575,2445.74190269202,0
548.75,3014505.79782182,2445.71743802494,0
549,3016361.35286472,2445.69297359805,0
549.25,3018214.55201011,2445.66850941133,0
549.5,3020065.39396166,2445.64404546481,0
549.75,3021913.87744105,2445.61958175847,0
550,3023760.00118795,2445.59511829232,0
550.25,3025603.76395997,2445.57065506636,0
550.5,3027445.16453264,2445.54619208061,0
550.75,3029284.20169935,2445.52172933506,0
551,3031120.87427134,2445.49726682971,0
551.25,3032955.1810777,2445.47280456458,0
551.5,3034787.12096527,2445.44834253965,0
551.75,3036616.69279863,2445.42388075495,0
552,3038443.8954601,2445.39941921046,0
552.25,3040268.72784967,2445.37495790619,0
552.5,3042091.18888498,2445.35049684216,0
552.75,3043911.27750127,2445.32603601835,0
553,3045728.99265137,2445.30157543477,0
553.25,3047544.33330566,2445.27711509144,0
553.5,3049357.29845203,2445.25265498834,0
553.75,3051167.88709581,2445.22819512549,0
554,3052976.09825981,2445.20373550289,0
554.25,3054781.93098424,2445.17927612053,0
554.5,3056585.38432666,2445.15481697844,0
554.75,3058386.45736197,2445.1303580766,0
555,3060185.14918237,2445.10589941502,0
555.25,3061981.45889733,2445.0814409937,0
555.5,3063775.38563354,2445.05698281266,0
555.75,3065566.92853487,2445.03252487189,0
556,3067356.08676234,2445.00806717139,0
556.25,3069142.85949412,2444.98360971117,0
556.5,3070927.24592542,2444.95915249124,0
556.75,3072709.24526851,2444.93469551159,0
557,3074488.85675266,2444.91023877223,0
557.25,3076266.07962412,2444.88578227317,0
557.5,3078040.91314606,2444.8613260144,0
557.75,3079813.35659855,2444.83686999593,0
558,3081583.40927851,2444.81241421776,0
558.25,3083351.07049967,2444.78795867991,0
558.5,3085116.33959256,2444.76350338236,0
558.75,3086879.21590444,2444.73904832513,0
559,3088639.69879925,2444.71459350822,0
559.25,3090397.78765765,2444.69013893163,0
559.5,3092153.48187688,2444.66568459536,0
559.75,3093906.78087078,2444.64123049942,0
560,3095657.68406973,2444.61677664381,0
560.25,3097406.19092063,2444.59232302854,0
560.5,3099152.30088686,2444.56786965361,0
560.75,3100896.0134482,2444.54341651903,0
561,3102637.32810084,2444.51896362478,0
561.25,3104376.24435732,2444.49451097089,0
561.5,3106112.7617465,2444.47005855735,0
561.75,3107846.87981349,2444.44560638417,0
562,3109578.59811963,2444.42115445135,0
562.25,3111307.91624248,2444.39670275889,0
562.5,3113034.83377573,2444.3722513068,0
562.75,3114759.35032919,2444.34780009508,0
563,3116481.46552871,2444.32334912374,0
563.25,3118201.17901621,2444.29889839278,0
563.5,3119918.49044958,2444.27444790219,0
563.75,3121633.39950265,2444.24999765199,0
564,3123345.90586515,2444.22554764218,0
564.25,3125056.00924271,2444.20109787277,0
564.5,3126763.70935675,2444.17664834375,0
564.75,3128469.00594448,2444.15219905512,0
565,3130171.89875884,2444.12775000691,0
565.25,3131872.38756849,2444.10330119909,0
565.5,3133570.47215775,2444.07885263169,0
565.75,3135266.15232653,2444.0544043047,0
566,3136959.4278903,2444.02995621813,0
566.25,3138650.29868012,2444.00550837198,0
566.5,3140338.76454249,2443.98106076626,0
566.75,3142024.82533936,2443.95661340096,0
567,3143708.48094808,2443.9321662761,0
567.25,3145389.7312614,2443.90771939167,0
